traded,season,lost,ownedBy.id,ownedBy.name,originalOwner.id,originalOwner.name,slot.round
FALSE,2026,FALSE,1335769,Steve,1335769,Steve,1
FALSE,2026,FALSE,1335769,Steve,1335769,Steve,2
FALSE,2026,FALSE,1335769,Steve,1335769,Steve,3
FALSE,2026,FALSE,1335769,Steve,1335769,Steve,4
FALSE,2026,FALSE,1335769,Steve,1335769,Steve,5
FALSE,2026,FALSE,1335769,Steve,1335769,Steve,6
FALSE,2026,FALSE,1335769,Steve,1335769,Steve,7
FALSE,2026,FALSE,1335769,Steve,1335769,Steve,8
FALSE,2026,FALSE,1335769,Steve,1335769,Steve,9
FALSE,2026,FALSE,1335769,Steve,1335769,Steve,10
FALSE,2026,FALSE,1335769,Steve,1335769,Steve,11
FALSE,2026,FALSE,1335769,Steve,1335769,Steve,12
FALSE,2026,FALSE,1335769,Steve,1335769,Steve,13
FALSE,2026,FALSE,1335769,Steve,1335769,Steve,14
FALSE,2026,FALSE,1335769,Steve,1335769,Steve,15
FALSE,2026,FALSE,1335769,Steve,1335769,Steve,16
FALSE,2026,FALSE,1335769,Steve,1335769,Steve,17
FALSE,2026,FALSE,1335769,Steve,1335769,Steve,18
FALSE,2026,FALSE,1335769,Steve,1335769,Steve,19
FALSE,2026,FALSE,1335769,Steve,1335769,Steve,20
FALSE,2027,FALSE,1335769,Steve,1335769,Steve,1
FALSE,2027,FALSE,1335769,Steve,1335769,Steve,2
FALSE,2027,FALSE,1335769,Steve,1335769,Steve,3
FALSE,2027,FALSE,1335769,Steve,1335769,Steve,4
FALSE,2027,FALSE,1335769,Steve,1335769,Steve,5
FALSE,2027,FALSE,1335769,Steve,1335769,Steve,6
FALSE,2027,FALSE,1335769,Steve,1335769,Steve,7
FALSE,2027,FALSE,1335769,Steve,1335769,Steve,8
FALSE,2027,FALSE,1335769,Steve,1335769,Steve,9
FALSE,2027,FALSE,1335769,Steve,1335769,Steve,10
FALSE,2027,FALSE,1335769,Steve,1335769,Steve,11
FALSE,2027,FALSE,1335769,Steve,1335769,Steve,12
FALSE,2027,FALSE,1335769,Steve,1335769,Steve,13
FALSE,2027,FALSE,1335769,Steve,1335769,Steve,14
FALSE,2027,FALSE,1335769,Steve,1335769,Steve,15
FALSE,2027,FALSE,1335769,Steve,1335769,Steve,16
FALSE,2027,FALSE,1335769,Steve,1335769,Steve,17
FALSE,2027,FALSE,1335769,Steve,1335769,Steve,18
FALSE,2027,FALSE,1335769,Steve,1335769,Steve,19
FALSE,2027,FALSE,1335769,Steve,1335769,Steve,20
FALSE,2028,FALSE,1335769,Steve,1335769,Steve,1
FALSE,2028,FALSE,1335769,Steve,1335769,Steve,2
FALSE,2028,FALSE,1335769,Steve,1335769,Steve,3
FALSE,2028,FALSE,1335769,Steve,1335769,Steve,4
FALSE,2028,FALSE,1335769,Steve,1335769,Steve,5
FALSE,2028,FALSE,1335769,Steve,1335769,Steve,6
FALSE,2028,FALSE,1335769,Steve,1335769,Steve,7
FALSE,2028,FALSE,1335769,Steve,1335769,Steve,8
FALSE,2028,FALSE,1335769,Steve,1335769,Steve,9
FALSE,2028,FALSE,1335769,Steve,1335769,Steve,10
FALSE,2028,FALSE,1335769,Steve,1335769,Steve,11
FALSE,2028,FALSE,1335769,Steve,1335769,Steve,12
FALSE,2028,FALSE,1335769,Steve,1335769,Steve,13
FALSE,2028,FALSE,1335769,Steve,1335769,Steve,14
FALSE,2028,FALSE,1335769,Steve,1335769,Steve,15
FALSE,2028,FALSE,1335769,Steve,1335769,Steve,16
FALSE,2028,FALSE,1335769,Steve,1335769,Steve,17
FALSE,2028,FALSE,1335769,Steve,1335769,Steve,18
